_unit_id,_worker_id,video1_score,video2_score,video1_fname,video2_fname
3483613061,46140125,score_3,score_2,_mr2Rpuqlyw_output_05_1.mp4,_mr2Rpuqlyw_output_07_8.mp4
3483613061,47278508,score_4,score_3,_mr2Rpuqlyw_output_05_1.mp4,_mr2Rpuqlyw_output_07_8.mp4
3483613061,46638364,score_5,score_2,_mr2Rpuqlyw_output_05_1.mp4,_mr2Rpuqlyw_output_07_8.mp4
3483613062,46140132,score_4,score_1,2WxUIkF2zEw_output_05_2.mp4,2WxUIkF2zEw_output_05_9.mp4
3483613062,47100814,score_4,score_2,2WxUIkF2zEw_output_05_2.mp4,2WxUIkF2zEw_output_05_9.mp4
3483613062,47227806,score_4,score_1,2WxUIkF2zEw_output_05_2.mp4,2WxUIkF2zEw_output_05_9.mp4
3496277611,47194542,score_3,score_3,3H3261x-QgI_output_06_0.mp4,3H3261x-QgI_output_06_7.mp4
3496277611,46579189,score_4,score_5,3H3261x-QgI_output_06_0.mp4,3H3261x-QgI_output_06_7.mp4
3496277611,46944018,score_1,score_1,3H3261x-QgI_output_06_0.mp4,3H3261x-QgI_output_06_7.mp4
3483613064,46140132,score_1,score_4,-3nyUrKWFEE_output_02_8.mp4,-3nyUrKWFEE_output_02_0.mp4
3483613064,47278508,score_2,score_5,-3nyUrKWFEE_output_02_8.mp4,-3nyUrKWFEE_output_02_0.mp4
3483613064,45610150,score_2,score_4,-3nyUrKWFEE_output_02_8.mp4,-3nyUrKWFEE_output_02_0.mp4
3483613065,46140125,score_4,score_5,00z0M1DJyAw_output_07_0.mp4,00z0M1DJyAw_output_09_2.mp4
3483613065,47100814,score_3,score_5,00z0M1DJyAw_output_07_0.mp4,00z0M1DJyAw_output_09_2.mp4
3483613065,46140132,score_2,score_5,00z0M1DJyAw_output_07_0.mp4,00z0M1DJyAw_output_09_2.mp4
3483613066,45650746,score_2,score_4,3AzacBprTzU_output_04_3.mp4,3AzacBprTzU_output_04_5.mp4
3483613066,46943916,score_3,score_5,3AzacBprTzU_output_04_3.mp4,3AzacBprTzU_output_04_5.mp4
